Name,Smile,Activity,Path
CHEMBL4085670,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN1CCN(CCO)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4085670.png
CHEMBL4161103,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4161103.png
CHEMBL4064097,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN(CCO)CCO,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4064097.png
CHEMBL4094336,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN1CCOCC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4094336.png
CHEMBL4077817,CCN(CC)CCCCn1c2ccccc2c(=O)c2cc(C)cc(C)c21,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4077817.png
CHEMBL4066830,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN1CCCCC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4066830.png
CHEMBL375243,Cc1cccc(N2CCN(CC(O)COc3ccccc3C(=O)CCc3ccccc3)CC2)c1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL375243.png
CHEMBL67,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL67.png
CHEMBL4086583,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCN1CCN(CCO)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4086583.png
CHEMBL4102080,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCCN1CCN(C)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4102080.png
CHEMBL4096764,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCN(CCO)CCO,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4096764.png
CHEMBL2316428,COc1cc(/C=C/C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316428.png
CHEMBL4078738,CCN(CC)CCCn1c2ccccc2c(=O)c2cc(C)cc(C)c21,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4078738.png
CHEMBL2425924,COc1ccc(N(C)c2nc(C)nc3c2CCC3)cc1.Cl,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2425924.png
CHEMBL4094253,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCN1CCCCC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4094253.png
CHEMBL4073625,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCN1CCN(C)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4073625.png
CHEMBL4099509,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCCN1CCOCC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4099509.png
CHEMBL1643347,COc1cc(C#CC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1643347.png
CHEMBL2316440,COc1ccc(C(C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316440.png
CHEMBL4091769,Cc1cc(C)c2[nH]c3ccccc3c(=O)c2c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4091769.png
CHEMBL4565305,CC(C)(C)OC(=O)NCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C[C@@H](O)[C@@H]2[C@@H]([C@]4(C)CC[C@H](C(C)(C)O)O4)CC[C@]23C)C1(C)C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4565305.png
CHEMBL2316161,COc1cc(/C=C/C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316161.png
CHEMBL313113,CCOC/C=C/c1ccc(-c2nc(-c3ccc(NC(C)C)cc3)c(-c3ccc(NC(C)C)cc3)[nH]2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL313113.png
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL348475.png
CHEMBL3233494,COc1cc2c(cc1OC)C(=O)/C(=C/C=C/c1ccc(N(C)C)cc1)C2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3233494.png
